dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2018-02-01,15,0,1,1,1,26,1,1,0,0,0,10,2,26
2018-03-01,8,0,1,0,1,1,1,1,0,0,2,149,23,33
2018-04-01,4,0,1,0,0,0,0,0,0,0,0,117,33,32
2018-05-01,4,0,1,0,0,0,0,0,0,0,0,125,29,35
2018-06-01,3,0,1,0,0,0,0,0,0,0,0,90,18,25
2018-07-01,1,0,1,0,0,0,0,0,0,0,0,75,25,25
2018-08-01,3,0,1,0,0,0,0,0,0,0,0,121,36,20
2018-09-01,3,0,1,0,0,0,1,0,0,0,0,132,30,21
2018-10-01,3,0,2,0,2,0,1,1,1,1,0,93,23,20
2018-11-01,5,0,1,0,0,0,0,0,0,0,0,124,26,12
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,145,25,6
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,147,40,15
2019-02-01,7,0,2,0,2,1,1,0,1,1,0,303,64,11
2019-03-01,4,0,1,0,0,0,0,0,0,0,0,300,61,16
2019-04-01,7,0,1,0,2,0,1,1,0,0,0,194,52,8
2019-05-01,4,0,1,0,0,0,0,0,0,0,0,181,56,5
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,137,42,7
2019-07-01,3,0,1,0,0,0,0,0,0,0,0,137,34,7
2019-08-01,5,0,1,0,1,1,0,0,0,0,0,105,28,2
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,99,30,6
2019-10-01,1,0,1,0,0,0,0,0,0,0,0,85,25,3
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,72,19,3
2019-12-01,2,0,1,1,0,0,0,0,0,0,0,33,4,0
